objectid,type,format,subject,identifier,creator,culture,date,title,materials,measurements,filename,credit,published,web_page,origin,description,altnum
369,Image;StillImage,image/jpeg,"The Randahl Shop;American;Sterling silver;Chicago, Illinois",JSMA2014:39.13,The Randahl Shop,American,ca. 1935-65,Footed bowl,Sterling silver,H. 4-1/4 x Diam. 6-1/4 inches,jsma2014_39_13,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111120;type=101,"Chicago, Illinois","A compote is a bowl with a base and stem that is used to serve compotes (a dessert made of fruits cooked in sugar syrup), fruits, nuts or candies. The floral band on the stem is typical of Arts and Crafts decoration, as nature was cited by many craftsmen as the main inspiration for their work. This compote was made by Julius Olaf Randahl, the first professional silversmith of The Kalo Shop, and later the founder of The Randahl Shop. Randahl opened his shop in Chicago in 1914 but soon closed it in order to join the war effort. The storefront reopened after the war and continued to operate until 1965. Unlike many of the craftsmen represented here, who exclusively produced hand-wrought silver through the 1940s, Randahl switched to producing mostly machine-made objects in the 1920s. Adopting machine technology earlier than his peers meant that Randahl could devote his time to experimenting with new designs. Randahl also differed from the other silver shops in that he sold his hollowware through department stores and jewelry shops, rather than just from his storefront.",N0356
454,Image;StillImage,image/jpeg,"James Dixon & Sons;British;Sterling silver, leather, and ivory;Sheffield, England",JSMA2014:39.14,James Dixon & Sons,British,1907,Card case,"Sterling silver, leather, and ivory",W. 4 x D. 2-7/8 inches,jsma2014_39_14,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111121;type=101,"Sheffield, England",Sterling silver card case with hammered ground and applied strapwork ornamentation with medallion at clasp. Leather interior has multiple dividers and ivory writing surface.,N0414
396,Image;StillImage,image/jpeg,"Dresser, Christopher; Hukin & Heath;British;Silverplate;London, England",JSMA2014:39.15,"Dresser, Christopher; Hukin & Heath",British,ca. 1890,Bowl,Silverplate,overall: H. 2 x W. 9 1/2 in; H. 5.08 x W. 24.13 cm,jsma2014_39_15,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111122;type=101,"London, England","Considered the first industrial designer, Christopher Dresser created designs for a wide range of manufacturers in Great Britain, France, and the United States. Dresser was a visionary who realized the potential of new technologies to revolutionize the consumer market for home goods. Unlike the Arts & Crafts movement, which championed a return to handmade craft, Dresser embraced the Industrial Revolution. By using more advanced mechanical techniques, Dresser had more freedom to construct a wide variety of creative and complex forms in large quantities. Many of his designs still look fresh and modern to today’s audiences. His innovative designs, not only in metalwork but also in textiles, wallpaper, carpets, ceramics, and furniture, made Dresser an extremely influential figure in the design world. His books on industrial design and Japanese art were widely read in both Britain and the United States.",N0455
362,Image;StillImage,image/jpeg,"Sciarrotta, Alfredo; Black, Starr, & Frost;American;Sterling silver;Newport, Rhode Island",JSMA2014:39.16,"Sciarrotta, Alfredo; Black, Starr, & Frost",American,ca. 1960,Footed bowl,Sterling silver,H. 4 1/4 x Diam. 9 3/4 inches,jsma2014_39_16,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111123;type=101,"Newport, Rhode Island",,N0811
402,Image;StillImage,image/jpeg,"Dirk van Erp Studio;American;Sterling silver;San Francisco, California",JSMA2014:39.17,Dirk van Erp Studio,American,ca. 1950-1977,Pitcher,Sterling silver,H. 9-1/2 x W. 7-7/8 x D. 6-3/8 inches,jsma2014_39_17,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111124;type=101,"San Francisco, California",,N0937
506,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.18a-d,Lebolt & Company,American,ca. 1910-18,Tea service,Sterling silver,A: 6-3/4 x 9-1/4 x 5-1/2 inches; B: 4 x 6 x 4-3/4 inches; C: 4-1/4 x 5-1/2 x 3-1/2 inches; D: 3/4 x 13-1/4 x 18-1/4 inches,jsma2014_39_18,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111125;type=101,"Chicago, Illinois","When tea was first brought to the American colonies, it was a luxury enjoyed only by the wealthy. The tea set—with tea pot, creamer, sugar bowl, and other accoutrements—was transformed into its own luxury good for upper class patrons. The Industrial Revolution of the mid-19th century, and its resultant improvements in packing and shipping, facilitated the importation of tea and broadened its appeal to all social classes. During the early 20th century, silver tea sets became popular household items for the newly wealthy because they showed one’s improved financial status. In the later years of the Arts and Crafts period, when this tea set was made, the different items of a tea service were available for purchase separately. This meant that more middle class families were able to afford complete sets, since they were able to collect the pieces as finances allowed. This tea service includes a tea pot, coffee pot, creamer and sugar bowl.",N0955
403,Image;StillImage,image/jpeg,"The Randahl Shop;American;Sterling silver;Chicago, Illinois",JSMA2014:39.19,The Randahl Shop,American,ca. 1911-39,Pitcher,Sterling silver,overall: H. 8 3/4 x W. 4 1/2 in; H. 22.225 x W. 11.43 cm,jsma2014_39_19,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111126;type=101,"Chicago, Illinois","This pitcher epitomizes the design precepts of the Arts and Crafts movement, which stated that form should follow function and prized simple, beautiful design derived from nature. The wide handle, heavy base, and narrowed spout were all designed to improve its functionality. Its heavy appearance was intended to indicate the pitcher’s durability, another aspect that was important to the movement. Its weight contrasts with its textured and reflective surface. Silver’s light-reflective quality was prized by Arts and Crafts silversmiths, as light was a way for the objects to interact with nature. The simple form, shiny finish and visible hammer marks all allow light to become the design focus.",N0964
481,Image;StillImage,image/jpeg,"Friedell, Clemens;American;Sterling silver;Pasadena, California",JSMA2014:39.20,"Friedell, Clemens",American,ca. 1940,Serving tray,Sterling silver,Diam. 11 inches,jsma2014_39_20,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111127;type=101,"Pasadena, California",Serving dish or charger plate with custom applied monogram,N0966
494,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.21,Lebolt & Company,American,ca. 1910-18,Cake plate,Sterling silver,Diam. 12 inches,jsma2014_39_21,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111128;type=101,"Chicago, Illinois","Monograms, such as the one on this cake plate, are one of the most distinctive features of many Arts and Crafts decorative objects. They were a common way to personalize objects, particularly those given as gifts or bought to commemorate events. In the late-19th and early-20th centuries, monograms were made using three different techniques: engraving, applying, or saw-piercing. Applied monograms are seen on many of the objects in this display case. The applied technique involves cutting out a separate shape in silver, which is then soldered on to the object. Engraving involves etching into the surface with a sharp tool, and saw-piercing involves cutting out the monogram from the surface of the metal. The Kalo Shop and Lebolt & Company were both known for their artful monograms.",N1009
588,Image;StillImage,image/jpeg,"The Kalo Shop;American;Sterling silver;Chicago, Illinois",JSMA2014:39.22,The Kalo Shop,American,ca. 1912-16,Serving tray,Sterling silver,H. 1 x W. 17 x D. 10-1/4 inches,jsma2014_39_22,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111129;type=101,"Chicago, Illinois","This monogrammed tray is typical of the hand-wrought silver items produced by The Kalo Shop, the leading Chicago producer of silverware for more than three generations. Founded by Clara Barck Welles in 1900, the shop was originally a group of six women. Nicknamed the “Kalo girls,” they were responsible for designing the items produced, while Scandinavian immigrants fabricated them. The Kalo Shop thus offered opportunities for women and immigrants not found elsewhere in Chicago at the time.
The Kalo Shop produced the widest ranges of handmade holloware, jewelry, and flatware in Chicago during the Arts and Crafts movement, but during World War I, their production changed. Silver became scarce, and many of Kalo’s silversmiths were sent overseas to fight in the war. The female employees of the Kalo Shop started producing smaller items and jewelry, enabling the shop to stay open during the war. Unfortunately, their New York storefront, which had opened in 1912 to accommodate a growing east coast clientele, closed in 1916 due to the wartime economy.",N1013
507,Image;StillImage,image/jpeg,"Fisher Silversmiths Inc.;American;Sterling silver;Jersey City, New Jersey",JSMA2014:39.23,Fisher Silversmiths Inc.,American,ca. 1960,Candelabra,Sterling silver,overall: H. 4 1/4 x W. 14 1/4 in; H. 10.795 x W. 36.195 cm,jsma2014_39_23,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111130;type=101,"Jersey City, New Jersey",Two three-branch cande holders that form ring candelabra when placed together.,N1044
51,Image;StillImage,image/jpeg,"Georg Jensen Inc.; Malinowski, Arno;Danish;Sterling silver;Copenhagen, Denmark",JSMA2014:39.24,"Georg Jensen Inc.; Malinowski, Arno",Danish,ca. 1936-44,Brooch,Sterling silver,1-1/2 x 1-1/2 inches,jsma2014_39_24,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111166;type=101,"Copenhagen, Denmark","Diamond shaped brooch with two birds facing eachother. Designed by Arno Malinowski, manufactured from 1936-1944. Design No. 250",N0283
221,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.25a,Lebolt & Company,American,1927,Iced tea spoon,Sterling silver,7-1/2 inches,jsma2014_39_25a,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111132;type=101,"Chicago, Illinois",,N1061
222,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.25b,Lebolt & Company,American,1933,Iced tea spoon,Sterling silver,7-9/16 inches,jsma2014_39_25b,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120590;type=101,"Chicago, Illinois",,N1061
223,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.25c,Lebolt & Company,American,1933,Iced tea spoon,Sterling silver,7-5/8 inches,jsma2014_39_25c,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120591;type=101,"Chicago, Illinois",,N1061
224,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.25d,Lebolt & Company,American,1933,Iced tea spoon,Sterling silver,7-9/16 inches,jsma2014_39_25d,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120592;type=101,"Chicago, Illinois",,N1061
225,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.25e,Lebolt & Company,American,1931,Iced tea spoon,Sterling silver,7-5/8 inches,jsma2014_39_25e,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120593;type=101,"Chicago, Illinois",,N1061
226,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.25f,Lebolt & Company,American,1935,Iced tea spoon,Sterling silver,7-5/8 inches,jsma2014_39_25f,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120594;type=101,"Chicago, Illinois",,N1061
227,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.25g,Lebolt & Company,American,1938,Iced tea spoon,Sterling silver,7-5/8 inches,jsma2014_39_25g,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120595;type=101,"Chicago, Illinois",,N1061
228,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.25h,Lebolt & Company,American,1930,Iced tea spoon,Sterling silver,7-1/2 inches,jsma2014_39_25h,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120596;type=101,"Chicago, Illinois","H:1930. H: Front Monogram-GW, Back Inscription- Gladys 3-8-30, Sterling hand made, Lebolt.",N1061
229,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.26a,Lebolt & Company,American,1917,Teaspoon,Sterling silver,5-7/8 inches,jsma2014_39_26a,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111133;type=101,"Chicago, Illinois",,N1079
230,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.26c,Lebolt & Company,American,1850,Teaspoon,Sterling silver,5-7/8 inches,jsma2014_39_26c,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120584;type=101,"Chicago, Illinois",,N1096
231,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.26e,Lebolt & Company,American,1922,Teaspoon,Sterling silver,5-1/4 inches,jsma2014_39_26e,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120586;type=101,"Chicago, Illinois","Inscribed ""Lady in Ermine"" 1924",N1060
232,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.26f,Lebolt & Company,American,1919,Teaspoon,Sterling silver,5-1/4 inches,jsma2014_39_26f,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120587;type=101,"Chicago, Illinois",,N1083
233,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.26g,Lebolt & Company,American,1914,Teaspoon,Sterling silver,5-1/4 inches,jsma2014_39_26g,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120588;type=101,"Chicago, Illinois",Teaspoon with hammered finish and applied monogram W on handle terminal.,N1059
234,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.26h,Lebolt & Company,American,1922,Teaspoon,Sterling silver,5-7/8 inches,jsma2014_39_26h,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120589;type=101,"Chicago, Illinois",Teaspoon with hammered finish and applied monogram GW on handle terminal.,N1096
235,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.27a,Lebolt & Company,American,1921,Sugar spoon,Sterling silver,"a: 5 3/8 inches, b: 5 1/4 inches",jsma2014_39_27a,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111134;type=101,"Chicago, Illinois",,N1099
236,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.27a,Lebolt & Company,American,1921,Sugar spoon,Sterling silver,"a: 5 3/8 inches, b: 5 1/4 inches",jsma2014_39_27a,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111134;type=101,"Chicago, Illinois",,N1098
237,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.27b,Lebolt & Company,American,1926,Sugar spoon,Sterling silver,a: 5-3/8 inches; b: 5-1/4 inches,jsma2014_39_27b,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120597;type=101,"Chicago, Illinois",,N1098
238,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.27b,Lebolt & Company,American,1926,Sugar spoon,Sterling silver,a: 5-3/8 inches; b: 5-1/4 inches,jsma2014_39_27b2,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=120597;type=101,"Chicago, Illinois",,N1099
102,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.28,Lebolt & Company,American,1926,Lemon fork,Sterling silver,5-1/2 inches,jsma2014_39_28,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111135;type=101,"Chicago, Illinois",Three-tine fork with hammered finish and flared stem with applied monogram GW at terminal.,N1104
589,Image;StillImage,image/jpeg,"The Kalo Shop;American;Sterling silver, porcelain;Chicago, Illinois",JSMA2014:39.29a-d,The Kalo Shop,American,20th century,Salt cellars,"Sterling silver, porcelain",each: H. 3/4 x Diam. 1-1/2 inches,jsma2014_39_29,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111136;type=101,"Chicago, Illinois",,N1217
218,Image;StillImage,image/jpeg,"Randahl, Julius Olaf; The Randahl Shop;American;Sterling silver;Chicago, Illinois",JSMA2014:39.2a-c,"Randahl, Julius Olaf; The Randahl Shop",American,ca. 1925,Serving set,Sterling silver,A: 10-1/4 inches; B: 9-1/2 inches; C: 9-1/2 inches,jsma2014_39_2,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111109;type=101,"Chicago, Illinois","The pattern decorating this serving set matches that of a pitcher in the museum’s permanent collection. The Randahl Shop, similar to most producers of the time, offered a wide variety of household objects in the same pattern, which created a set. This same pattern would have been available for other objects as part of a dinner service, such as serving bowls or silverware.  
During the early 20th century, purchasing silver was like starting an ongoing collection. In a 1937 book, The Story of Sterling, published by the Sterling Silversmiths Guild of America, the author writes about the importance of choosing the right silver pattern.  The author warns that when choosing a pattern, the longevity of the style and availability of the pattern in the future is of the utmost importance. This is because silver would ideally be passed down to younger generations, who could continue to add to the set.",N0036
301,Image;StillImage,image/jpeg,"Fisher, James;American;Silverplate;New York, New York","JSMA2014:39.30a,b","Fisher, James",American,ca. 1821-32,Candlesticks,Silverplate,H. 5 x Diam. 4 inches,jsma2014_39_30,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111137;type=101,"New York, New York",Two candlesticks with swirl base.,N1629
518,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver with ivory;Chicago, Illinois",JSMA2014:39.31a-d,Lebolt & Company,American,1916,Tea service,Sterling silver with ivory,A: 4 x 5 1/2 x 3-1/2 inches; B: 4 x 6 x 4-3/4 inches; C: 6-1/2 x 11-1/4 x 4- 1/2 inches; D: 7-1/2 x 11-1/4 x 4-1/4 inches,jsma2014_39_31,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111138;type=101,"Chicago, Illinois","Sterling silver was favored for tea sets because of its ability to retain heat. The ivory inset in the handle of the tea and coffee pots is not purely for decoration, but serves as an insulator and keeps handle cool to the touch. A tea service can include a wide variety of objects, though since the reign of Queen Victoria, the standard is for a seven piece set. A standard set would include a tea pot, creamer, sugar bowl, tea kettle, coffee pot, tray, and a waste bowl for the tea leaves. In addition to the tea pot, creamer, and sugar bowl, this tea service includes the tray located on the shelf beneath these objects.",N1630
529,Image;StillImage,image/jpeg,"Shiebler, George W.;American;Sterling silver;Brooklyn, New York",JSMA2014:39.32,"Shiebler, George W.",American,ca. 1890-1910,Ladle,Sterling silver,H. 12 3/4 x W. 3-5/8 inches,jsma2014_39_32,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111139;type=101,"Brooklyn, New York","Large hammer marks reveal the artist’s hand in this ladle decorated with floral repoussé around the bowl of the ladle. The handle of the ladle features a single dragonfly that stretches the width of the handle. 
Marks: George Shiebler’s work is readily identifiable by his signature mark of a winged “S”",N1668
404,Image;StillImage,image/jpeg,"Randahl, Julius Olaf; The Randahl Shop;American;Sterling silver;Chicago, Illinois",JSMA2014:39.33,"Randahl, Julius Olaf; The Randahl Shop",American,ca. 1930,Pitcher,Sterling silver,overall: H. 9 1/2 x W. 6 1/2 in; H. 24.13 x W. 16.51 cm,jsma2014_39_33,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111140;type=101,"Chicago, Illinois","After emigrating from Sweden to the United States, Julius Randahl trained at the Kalo Shop between 1907 and 1910. By 1910 Randahl opened his own shop, developing his own style that reflected a Scandinavian sensibility. Randahl’s blossom pattern, seen in the handle of the pitcher that terminates in a series of beads, recalls Gerog Jensen’s own blossom motif. The decoration on upper part of handle matches a serving set (2014:39.2a-c) in the collection.",P0003/S0027
397,Image;StillImage,image/jpeg,"Erickson Silver;American;Sterling silver;Gardner, Massachusetts",JSMA2014:39.34,Erickson Silver,American,ca. 1935,Bowl,Sterling silver,overall: H. 1-3/4 x W. 8 inches; H. 4.445 x W. 20.32 cm,jsma2014_39_34,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111141;type=101,"Gardner, Massachusetts","Square bowl with hammered finish and rounded corners with applied rim, raised foot.",P0023/S0000
363,Image;StillImage,image/jpeg,"DeMatteo, William G.;American;Sterling silver;Bergenfield, New Jersey",JSMA2014:39.35,"DeMatteo, William G.",American,ca. 1950,Raised bowl,Sterling silver,overall: H. 10 x Diam. 5 1/2.,jsma2014_39_35,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111142;type=101,"Bergenfield, New Jersey","William G. deMatteo (1894-1980) was born in Italy and immigrated to the United States as a boy. After seeing Georg Jensen’s work in a New York showroom, deMatteo was inspired to become a silversmith. He eventually produced designs for Georg Jensen Inc. Reinterpreting Jensen’s magnolia motif, deMatteo became known for his use of the calla lily motif.",P0025
519,Image;StillImage,image/jpeg,"Chicago Silver Co.;American;Sterling silver;Chicago, Illinois","JSMA2014:39.36a,b",Chicago Silver Co.,American,ca. 1923-25,Cream and sugar set,Sterling silver,each: H. 3-1/4 x W. 4-3/4 x Diam. 3 inches,jsma2014_39_36,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111143;type=101,"Chicago, Illinois","This cream and sugar set is an example of the variation in tea sets produced in the 1920s. It is smaller than others represented here because they were not part of a formal tea service. Formal tea service was a very important part of entertaining during this period, but it was not the only way in which people drank tea. Smaller, plainer tea sets enabled people to drink tea daily without having to use their larger, more ornate versions.",P0045
590,Image;StillImage,image/jpeg,"The Kalo Shop;American;Sterling silver;Chicago, Illinois",JSMA2014:39.37a-d,The Kalo Shop,American,ca. 1925,Salt and pepper casters,Sterling silver,each: H. 2-1/8 x W. 1-5/16 x D. 1-5/16 inches,jsma2014_39_37,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111144;type=101,"Chicago, Illinois","Like the British Arts and Crafts Movement, American Arts and Crafts grew out of a response to the rapid industrialization of urban centers. Clara Barck-Welles founded the Kalo Shop in Chicago, Illinois, in 1900 to revive the production of hand-crafted silver in an age in of industrialization. Not bound by the traditional British guild structure, the American Arts and Crafts movement afforded more opportunities for female artisans who would have designed and produced items like these salt and pepper casters.",P0046
405,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.38,Lebolt & Company,American,ca. 1925,Pitcher,Sterling silver,overall: H. 6 3/4 x W. 7 3/4 in; H. 17.145 x W. 19.685 cm,jsma2014_39_38,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111145;type=101,"Chicago, Illinois","This pitcher is an example of a piece of hand-raised holloware. Holloware refers to objects that are constructed from flat pieces of metal and are intended for the table, such as tea sets, pitchers, and serving bowls. This pitcher was made using a technique called raising, which combines heat and hammering to form a hollow object. Hand-raising begins with a flat sheet of metal, which is first heated and then hammered on steel stakes to move the metal upwards into a hollow form. The process of hand-raising is very labor and time intensive. Hand-raising differs from machine-raising because every object produced is unique. The surface of this pitcher was left with a hammered finish in order to keep visible the hand of the artist, an important element of the Arts and Crafts style.",P0048
370,Image;StillImage,image/jpeg,"Lebolt & Company;American;Sterling silver;Chicago, Illinois",JSMA2014:39.39,Lebolt & Company,American,ca. 1925,Small bowl,Sterling silver,overall: H. 1-1/2 x Daim. 4-7/8 inches,jsma2014_39_39,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111146;type=101,"Chicago, Illinois","Footed bowls, such as these, are used for serving candies or nuts. These bowls are an example of the type of smaller, more affordable items produced by Lebolt & Company. J. Myer Lebolt founded his namesake store to sell jewelry in 1899 and added a hand-wrought silversmithing department in 1910. The company became a popular place to buy items for weddings or special occasions, and offered trophies, flatware sets, trays, vases, bowls, serving pieces, coffee and tea services, trays and candelabra.  Lebolt & Company produced hollowware that was similar to that of the Kalo Shop, but was often less expensive. However, Lebolt’s tea sets and pitchers often rivaled those of Kalo and commanded comparable prices. The Great Depression brought financial troubles for Lebolt & Company, which declared bankruptcy in 1934. The hand-wrought hollowware department was eventually closed in 1944, though the company continued to produce jewelry into the 1980s.",P0050
